date,close,volume,open,high,low
8/1/2016,7.05,1252749,7,7.09,6.89
7/29/2016,6.96,2624655,6.84,7.08,6.73
7/28/2016,6.66,1885415,6.75,6.75,6.5874
7/27/2016,6.66,2959502,6.35,6.66,6.2825
7/26/2016,6.26,1437022,6.27,6.325,6.11
7/25/2016,6.1,2204603,6.3,6.3,6.06
7/22/2016,6.36,1343111,6.35,6.41,6.19
7/21/2016,6.47,2036576,6.36,6.57,6.32
7/20/2016,6.33,3753636,6.72,6.76,6.28
7/19/2016,6.82,1950483,6.97,7.005,6.805
7/18/2016,7.01,1626290,7,7.14,6.95
7/15/2016,7,1961362,7.03,7.27,7
7/14/2016,7.15,2424232,6.94,7.17,6.8
7/13/2016,7.13,2013658,7.04,7.2,6.99
7/12/2016,6.95,2956212,7.23,7.28,6.91
7/11/2016,7.27,2024392,7.08,7.29,7.01
7/8/2016,7.12,2255300,6.96,7.145,6.85
7/7/2016,7,4795495,7,7.18,6.85
7/6/2016,7.2,4956727,7.1,7.27,6.98
7/5/2016,7.01,3664537,6.8,7.07,6.68
7/1/2016,6.79,5052717,6.29,6.795,6.28
6/30/2016,6.12,2446153,6.18,6.18,6.02
6/29/2016,6.11,2821127,6.1,6.23,5.98
6/28/2016,6.06,3789776,6.15,6.15,5.91
6/27/2016,6.28,5679568,6.47,6.58,6.09
6/24/2016,6.4,8885872,6.61,6.77,6.3
6/23/2016,6.19,2100585,6.24,6.27,6.15
6/22/2016,6.29,1714628,6.25,6.3325,6.12
6/21/2016,6.3,4882504,6.21,6.42,6.12
6/20/2016,6.34,3270880,6.11,6.45,6.07
6/17/2016,6.27,7682438,6.33,6.37,6.14
6/16/2016,6.29,5709041,6.65,6.79,6.223
6/15/2016,6.51,2704493,6.31,6.56,6.23
6/14/2016,6.34,2685848,6.43,6.5,6.225
6/13/2016,6.41,2913854,6.41,6.52,6.3
6/10/2016,6.27,2728435,6.31,6.48,6.24
6/9/2016,6.25,2408363,6,6.25,5.94
6/8/2016,6,2490697,6.03,6.1,5.9
6/7/2016,5.77,1384602,5.78,5.9,5.72
6/6/2016,5.9,2025376,5.92,6,5.73
6/3/2016,5.88,3105288,5.62,5.89,5.53
6/2/2016,5.24,1738633,5.34,5.4,5.22
6/1/2016,5.36,1978651,5.42,5.51,5.28
5/31/2016,5.38,2643793,5.03,5.465,5.01
5/27/2016,5.1,2259919,5.35,5.36,5.09
5/26/2016,5.35,1891990,5.42,5.48,5.32
5/25/2016,5.32,3445423,5.19,5.33,5.025
5/24/2016,5.24,3897501,5.61,5.7,5.22
5/23/2016,5.71,1698023,5.66,5.84,5.59
5/20/2016,5.98,1937103,6.02,6.08,5.76
5/19/2016,5.96,2501344,5.66,5.97,5.5
5/18/2016,5.82,3051800,6.13,6.265,5.81
5/17/2016,6.28,2196062,6.24,6.49,6.1172
5/16/2016,6.23,1653381,6.28,6.4,6.165
5/13/2016,6.13,1162021,6.18,6.27,6.11
5/12/2016,6.18,1434956,6.38,6.4,6.1366
5/11/2016,6.38,1832144,6.35,6.44,6.11
5/10/2016,6.25,1927861,6.19,6.29,6.02
5/9/2016,6.2,2433775,6.18,6.36,6.16
5/6/2016,6.39,2423036,6.34,6.51,6.32
5/5/2016,6.24,1812868,6.14,6.245,6.05
5/4/2016,6.02,2655856,6.08,6.24,5.92
5/3/2016,6.18,2103202,6.35,6.45,6.08
5/2/2016,6.36,2571181,6.57,6.57,6.27
4/29/2016,6.49,3534851,6.27,6.505,6.21
4/28/2016,6.16,6419533,6.04,6.2075,6
4/27/2016,6,1433917,6.02,6.105,5.83
4/26/2016,5.98,1567144,5.85,6.035,5.79
4/25/2016,5.8,1297327,5.89,5.99,5.77
4/22/2016,5.9,1769980,5.98,6.115,5.79
4/21/2016,6.03,2646944,6.06,6.145,5.97
4/20/2016,5.95,2983296,6.12,6.25,5.9
4/19/2016,6.18,3583925,6.19,6.21,6.1
4/18/2016,5.99,1733224,6.07,6.08,5.98
4/15/2016,5.98,2142903,5.92,6.09,5.83
4/14/2016,5.86,1987256,5.92,5.95,5.75
4/13/2016,5.96,2822356,5.99,6.09,5.92
4/12/2016,6.12,3712109,6.19,6.2,5.92
4/11/2016,6.1,5652096,5.91,6.25,5.9
4/8/2016,5.76,3106446,5.51,5.85,5.5
4/7/2016,5.47,3594007,5.44,5.55,5.42
